titel;bedrag
[text];[MEUR/Yr]
Woning_Eigenaar_LokaleOpwekking;0
UitlegWoning_Eigenaar_LokaleOpwekking;0
Utiliteit_Eigenaar_LokaleOpwekking;0
UitlegUtil_Eigenaar_LokaleOpwekking;0
Glastuinbouw_Eigenaar_LokaleOpwekking;0
UitlegGlTb_Eigenaar_LokaleOpwekking;0
KL_e_EIA30Woning;0
KL_e_EIA30UitlegWoning;0
KL_e_EIA30Utiliteit;0
KL_e_EIA30UitlegUtil;0
KL_e_EIA30Glastuinbouw;0
KL_e_EIA30UitlegGlTb;0
KL_e_EIA15Woning;0
KL_e_EIA15UitlegWoning;0
KL_e_EIA15Utiliteit;0
KL_e_EIA15UitlegUtil;0
KL_e_EIA15Glastuinbouw;0
KL_e_EIA15UitlegGlTb;0
KL_e_ge_EIA;0
Woning_Eigenaar_EEA;0
KL_p_RestWarmte_EIA_id;0
InpandigeDistributeur_RestWarmte_EEA;0
KL_p_RestWarmte_EIA_wd;0
WijkDistributeur_RestWarmte_EEA;0
KL_p_RestWarmte_EIA_pt;0
PrimairTransporteur_RestWarmte_EEA;0
KL_p_RestWarmte_EIA_ov;0
RestWarmte_RestWarmte_EEA;0
